# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 2.015940147796793099e+03 1.929247475295546721e+01 -2.512303682697331553e+01 -2.541212883155592905e+01 -2.038772545135730496e+01 1.153959760327702755e+00 1.821939898337557873e-01 -1.418899552361698735e-01 8.887785949663608298e-02
1.505000000000000000e+02 4.021012494460050220e+03 -5.928736083070168661e+01 1.786687389663081404e+01 -4.220143353614687243e+01 7.217691959685757830e+00 1.227209684840142812e+00 -1.144015330193679930e-01 -7.468099968232744246e-02 7.762244501326079349e-02
2.005000000000000000e+02 5.631515147934609558e+03 2.180221338374959128e+00 -1.441825937418415471e+01 -1.500346726374231565e+01 6.351264343151009406e+00 1.192237108094231779e+00 3.952575849663852448e-01 7.082622916197743590e-02 4.316817381308504231e-01
2.505000000000000000e+02 5.587539037967600052e+03 6.646216237456503961e+01 -3.410925570557562292e+00 5.196034058778369058e+01 -9.375931815076537390e+00 2.513757073362322458e+00 1.503713571621577427e-01 -3.239059937747164608e-01 -3.996783905571589801e-01
3.005000000000000000e+02 3.992229975357980493e+03 1.212377898020423430e+02 -6.611617116187550325e-01 1.146535947920762197e+02 -1.911267592735940157e+00 9.744805278517665315e+00 -5.336079061722091010e-01 -1.846156694047171865e-01 3.236174881151817617e-01
3.505000000000000000e+02 2.590843566634577201e+03 9.323268910967099998e+01 2.874818196140145332e+00 9.170090638306710673e+01 -1.938739265401247858e+00 1.786206880209607917e+01 5.104864863223285143e-02 4.106410444103169577e-01 1.757711214759484220e-01
4.005000000000000000e+02 1.727637902596100275e+03 -2.422844410667200687e+00 1.294863300727055133e+00 5.319875039444185383e+00 -2.996688422726361267e+00 2.092363765909759010e+01 -1.415504085162397063e-01 -1.233481903264425500e-01 -8.665810379027372168e-02
4.505000000000000000e+02 1.979231275638437410e+03 -6.586932731937828578e+01 -4.297741318161109270e+00 -5.937103754822152268e+01 1.179066441155837586e+00 1.685403014640901986e+01 -1.646156969095414202e-01 -3.633638285343783192e-01 1.302040099173072674e-01
5.005000000000000000e+02 2.429245934895709524e+03 -5.485880951394565130e+01 1.383002695102959700e+00 -5.954147206951284232e+01 4.855249992200069364e+00 8.049050457186551100e+00 6.741722620335822702e-01 -7.460675879637651553e-02 1.024509707020925253e-01
5.505000000000000000e+02 2.617303309518373226e+03 5.396369038073205893e+00 -2.848879126396519634e+00 -1.862656796268118642e+00 -3.034255669108223419e+00 9.096287689639138918e+00 -1.222446647267964731e-01 3.175436745970678931e-01 -1.389959341786425016e-02
6.005000000000000000e+02 2.151849956639213360e+03 2.633912513725148941e+01 -2.149351545421514853e+00 2.225474196949834393e+01 2.764017204905410807e+00 1.988411880020193223e+01 2.064703351578657253e-01 6.455962616599221215e-01 8.941709744388977310e-02
6.505000000000000000e+02 1.803881357381607586e+03 -1.171529653424944684e+01 -2.368873140181081638e+00 -2.050831009102213898e+01 -1.175160318342398869e+00 3.209758620464040746e+01 -1.215372231351539850e-01 -6.242136531264856451e-03 -1.524240651635110598e-02
7.005000000000000000e+02 1.848420113530661411e+03 -9.906520500762314896e+01 -3.743558577023807121e+00 -9.405562629053588353e+01 1.031382284455418130e+00 3.649927570279383815e+01 1.604216669100715920e-01 1.353667313555256546e-01 -1.155612763722750902e-01
7.505000000000000000e+02 2.209538089578174095e+03 -1.278627664144084832e+02 -3.811325105971007599e+00 -1.355237352446235661e+02 -4.800042384375160509e+00 2.745351501617176737e+01 6.223640119602479315e-01 1.189368717120106861e-01 5.643284493780555966e-01
8.005000000000000000e+02 2.564513609832077236e+03 -8.873671565558210261e+01 -3.282490687778218952e+00 -8.992069727013348768e+01 1.703143590019010389e+00 1.565576413012829526e+01 -3.624226112138626554e-01 -7.503004539031528364e-02 -3.532778100518059183e-01
8.505000000000000000e+02 2.394837101413909750e+03 -1.883198317848852055e+00 -1.459522933687822155e+00 -4.063207858039334042e+00 3.108212650035737212e+00 1.352235645659941987e+01 -2.203286381030185315e-01 3.425112765830255063e-02 -3.703458613508676112e-01
9.005000000000000000e+02 1.871552550047253135e+03 6.196694853927849067e+01 -1.425139920409082661e+00 5.452886937970962578e+01 -4.922780380551631474e+00 2.369626925849787469e+01 -2.249812724827760790e-01 2.354905831234556379e-01 3.567402150662407068e-01
9.505000000000000000e+02 1.400703803849823089e+03 4.058410890485110656e+01 1.527984852729227683e+00 3.779819392198188410e+01 -2.428974469887917209e+00 3.667986629927717246e+01 -2.391664271698085986e-01 1.999840902925739336e-02 5.273098309974203791e-03
1.000500000000000000e+03 1.058858928466528141e+03 -2.065757474807599081e+01 2.102364730474462762e-01 -2.125163432539895680e+01 1.122115117631290460e+00 4.262214935679403993e+01 -1.176424041651320668e-01 8.580251384091902578e-01 -3.349507551887462853e-01
1.050500000000000000e+03 1.091075541697995732e+03 -7.186336136692068521e+01 2.195837795502780576e+00 -7.166904462105019036e+01 2.484190330279411274e+00 3.290626548746711677e+01 -1.554209670369836926e+00 -1.468205759790311982e+00 -3.982963001905538980e-01
1.100500000000000000e+03 1.227721803696950474e+03 -7.003568350798535391e+01 2.125455142720828139e+00 -6.497828606961063258e+01 -2.902092998362015841e-02 2.023955364955255121e+01 6.133826125586812061e-01 5.098345828277855984e-01 2.825379085648912006e-02
1.150500000000000000e+03 1.218752725425547624e+03 -2.920582482971049743e+01 3.371100608412886501e+00 -3.050507443621563297e+01 -1.478711947117160364e+00 1.400388626785258062e+01 -7.310634857839216627e-01 4.225207488653979770e-01 -8.680027892847284043e-01
1.200500000000000000e+03 1.066555814927559140e+03 5.035147922352051886e+00 1.530850154041529576e+00 8.838592135304196518e+00 1.858046276834322663e+00 1.773045125654549636e+01 -1.684006604395540396e-01 4.878185137037550079e-01 -2.420063587502942759e-01
1.250500000000000000e+03 8.493374902087221017e+02 -2.861602341785323578e+00 -6.162609024375609756e+00 -2.974122638414689046e+00 2.698945736825892450e+00 2.569014554752200752e+01 1.350858277809234842e+00 -1.181131403319772399e+00 -4.199386545194692122e-01
1.300500000000000000e+03 7.278706247971740595e+02 -3.371022624854277439e+01 -1.078047856287097206e+00 -3.743623480552935234e+01 -1.657516613263878114e+00 3.136579771895630131e+01 7.661418753884964294e-01 4.854226214957231833e-01 -2.621153053636859909e-03
1.350500000000000000e+03 7.797010301238980219e+02 -5.920950589853111268e+01 6.058193448779453094e-01 -5.024340024919757042e+01 3.868973055681391937e+00 2.654852260114180851e+01 9.694657762241233323e-01 3.244225755155114022e-01 1.503821764724785792e+00
1.400500000000000000e+03 8.090037348050119590e+02 -5.346724408626572966e+01 2.344639861482452847e+00 -5.713154505986113207e+01 -8.107813063528297448e+00 1.754449124554431094e+01 2.518477031454158244e-02 9.017282534751631939e-02 7.603039065489874959e-01
1.450500000000000000e+03 7.974772254191930188e+02 -2.408446269088203806e+01 -1.469405475739126388e+00 -2.736813109259809451e+01 -1.298704518160519017e+00 1.205087116410410353e+01 5.475520419863296739e-01 1.096711602304935917e+00 1.786231165150373279e+00
1.500500000000000000e+03 6.872267357153415333e+02 1.284029352018153103e-01 -2.233045516422648813e+00 -6.281158136540618386e+00 -2.373275515287253778e+00 1.124094852435131919e+01 3.682680115626468798e-01 4.729105631270633658e-01 -1.224334610348088548e+00
1.550500000000000000e+03 5.461947786017036606e+02 7.416100994046341377e+00 -5.268072214685961541e-01 1.311435301540401888e+01 8.658303875077068668e+00 1.773070471743318066e+01 8.847643029356554445e-01 2.297661128215633675e-01 -7.812488136478975553e-01
1.600500000000000000e+03 4.338131944640053916e+02 -1.199729320769678509e+01 3.994078759715534943e+00 -4.695802542320186568e+00 1.069412684373351574e+00 1.897453084267260692e+01 1.324844889882224264e+00 1.770645490163252234e+00 -7.014278891673488836e-01
1.650500000000000000e+03 3.797723427896157773e+02 -2.837720047146886770e+01 2.851514713956378344e+00 -2.617227988882277501e+01 3.026830901780197536e+00 1.865824273075651618e+01 -3.272497286402139327e+00 -1.661277423058329816e+00 4.045302466023414922e-01
1.700500000000000000e+03 3.987149070759650726e+02 -2.829451369472022648e+01 2.448802547263873919e+00 -3.013495267888711382e+01 -5.004029861030821813e+00 1.259827003590990557e+01 2.053198552995437076e+00 -3.089929194746843244e-01 1.367831006953046158e+00
1.750500000000000000e+03 4.055790708555054493e+02 -2.062146417138974641e+01 -1.905678832671088729e+00 -2.186211773967235672e+01 7.299818943506889424e-01 1.061469247714653008e+01 -8.720187963019049304e-01 -1.632552559309631002e-01 -8.558958785747522446e-01
1.800500000000000000e+03 3.696836861931845419e+02 -1.119709286867926501e+01 -3.965608160499931589e+00 -1.441682550579194277e+01 1.556446415449038723e+00 7.009186348228229058e+00 -2.415686748329781253e+00 -1.469500975417356914e+00 -1.782204980941396177e-01
1.850500000000000000e+03 3.090736129105109740e+02 -5.440497314428077935e+00 7.676345335305408968e-01 -5.288728446943040673e+00 -2.671158356124639699e+00 1.062742128497151484e+01 2.526669892234175041e+00 -1.556575861149391615e+00 2.026243042551515217e+00
1.900500000000000000e+03 2.667614811338030449e+02 -1.133714260028055065e+01 1.057124288360210551e+00 -8.878804294710539224e+00 -6.943303281472459787e+00 1.071396212116750490e+01 -3.406832843685489554e+00 7.718395589936926093e-01 8.932598427090732152e-02
1.950500000000000000e+03 2.407525852621929516e+02 -1.690766729714513517e+01 8.341709268480134165e-01 -1.153582829476167682e+01 1.882655776723623831e+00 1.258403039366429255e+01 -2.329075060049238741e-02 2.942712517175916087e-01 1.662572523438937466e+00
2.000500000000000000e+03 2.444484473525497776e+02 -1.970046571507712230e+01 -6.739617022007182712e-01 -1.733410568636642424e+01 2.448281310543009681e+00 1.001707709356241693e+01 -9.391993844448235373e-01 1.082019896913383183e+00 4.245344899948894302e+00
2.075500000000000000e+03 2.275249973496142673e+02 -1.074623780404279927e+01 4.169018256225459074e-01 -1.044163337081254284e+01 -1.617490787145644093e+00 4.775184492485578858e+00 -2.342774336758531195e+00 -5.937027344983401012e-01 -9.915214521438064921e-02
2.175500000000000000e+03 1.629929683762779007e+02 -5.150177051671676942e+00 -2.162825267572545229e+00 -4.109075572514504948e+00 3.325140391495647663e+00 2.818260995299300742e+00 1.343692733777254622e+00 -2.237748732225638137e-01 3.342800036710136258e-01
2.275500000000000000e+03 1.350461213166857704e+02 -7.111960022939523896e+00 3.905449922902593518e-01 -8.890326891338395043e+00 8.331475534948104666e+00 4.619366296334090016e+00 4.954767370532935922e-01 2.113764933816892622e-01 -1.911555443316598213e-01
2.375500000000000000e+03 1.186053642588548200e+02 -8.050448464101549462e+00 -1.192348155591463482e-01 -5.839821022683565843e+00 1.798914633391954565e+00 3.587263900442529518e+00 -2.154773949786927822e-01 8.519431473577464553e-01 -2.508694421344730863e+00
2.475500000000000000e+03 1.033604376282390120e+02 -3.048352550070847045e+00 3.046065024784182285e+00 -3.892520717039759770e+00 -1.085892277362013436e+00 2.700063999416808969e+00 -1.959624472854115451e+00 1.565882214354007151e-01 -1.855667956189382295e+00
2.625500000000000000e+03 8.048061486912739326e+01 -2.579073289151432746e+00 1.625572741954471212e+00 -2.448988602805932668e+00 1.961600934182073708e+00 2.647107478175187101e+00 9.908060578884206882e-01 1.469116008924453487e+00 -1.853946039995420181e+00
2.825500000000000000e+03 5.711581053010430509e+01 -1.899091478817399592e+00 1.040283260129591492e+00 -2.228417380141363979e-01 3.493184146170964510e+00 -1.437206524072268989e-02 1.025150969378315180e+00 1.691099549110121059e-01 2.810751842978466808e+00
3.025500000000000000e+03 4.424620953823211522e+01 -3.488495656863682459e+00 -1.377915704685167775e+00 -5.662936169388855800e-01 7.211705124870549932e-01 2.422297728896659841e+00 -1.036086655539789209e-01 3.344962058451148579e+00 -1.986409464604301789e-01
3.325500000000000000e+03 3.466559318912504750e+01 -1.249299711406485353e-01 1.457096381622746961e-01 -3.059036355018365239e+00 1.728957182276351423e+00 6.316350058244105670e-01 -2.918825389661718450e+00 -5.369374127539899177e+00 8.719740061902035988e-01
