# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 3.318945135733448751e+03 -2.278895822870302013e+01 -2.885799681256011340e+01 2.278157481684465040e+02 2.711739108214638350e+02 1.190723597989738103e+01 -1.045773686571704175e+01 8.572301906567496133e+00 1.033085749040459511e+01
1.505000000000000000e+02 5.193927889455739205e+03 -5.128700633294849354e+01 -1.420305534099862399e+01 -5.261466583330153668e+01 1.855884258992300602e+02 3.454918422002342671e-01 -9.698676323296219204e-01 -2.365083804069569862e+00 -3.468166551241317119e+00
2.005000000000000000e+02 7.628272993566344667e+03 -3.693628912696700439e+01 2.053021679066479876e+01 8.681101521679549293e+00 6.271659063817457991e+01 7.031930810793397546e-01 -2.454529408603430607e+00 5.930314121531276017e-01 2.909529108342266301e+00
2.505000000000000000e+02 5.317557739952237171e+03 5.173773965762394056e+01 -1.021527082632387895e+01 5.801119420181031927e+01 3.391020579530141532e+01 2.432938581708646186e+00 1.314287025865521708e+00 -3.536464347818629506e+00 1.238634952041208548e+00
3.005000000000000000e+02 3.947024647129947425e+03 6.454462448977479028e+01 -1.681270348371965184e+01 2.670211882233797951e+01 3.506162837508784946e+01 9.235167335767537011e+00 9.798570027426367623e-01 -2.787880464115904289e+00 -1.776576592804325783e+00
3.505000000000000000e+02 2.307243671294182604e+03 7.796820670453006130e+01 -1.927063026241024701e+01 3.900413625295347941e+01 -1.039355871165644452e+01 1.756248038127859346e+01 -2.064770706102925235e+00 -1.028018990858453385e+00 -2.066723125514261739e+00
4.005000000000000000e+02 1.133864635340128643e+03 -2.307598732321627111e+01 2.005499182853499107e+01 7.795906054654973438e+00 -3.260189441362697238e+01 2.233221607257759800e+01 -2.900740423676609225e+00 2.895646102637382535e-01 -1.815044028612433635e-02
4.505000000000000000e+02 2.054488637768470653e+03 -7.258013626515311500e+01 -3.657681375773703447e+00 -6.253933326921669078e+01 -3.728733172766679704e+00 1.427661652207855703e+01 -2.039538141246090286e-01 9.566688767865548781e-01 -5.946392181211418437e-01
5.005000000000000000e+02 2.528936504311498084e+03 -5.154911045204057274e+01 3.556134514416215353e+01 -4.041867411451298864e+01 -2.156616661247795719e+00 1.185610710220224462e+01 -9.858382792745000733e-01 -2.986033200715427216e-01 1.341559202618834157e-01
5.505000000000000000e+02 2.832796312499475334e+03 1.385942735329100062e+00 7.531907690683620871e+00 -2.231341737764391553e+01 1.559408902637122951e+00 1.007647261702343044e+01 1.125931897727734388e-01 -3.144789193828266161e+00 -1.413408966310038650e+00
6.005000000000000000e+02 2.110548713994365698e+03 3.681730758190487762e+01 8.113160111155384158e+00 6.399120384173802023e+01 1.892511325240489839e+01 1.812315559722910407e+01 -3.485596733897917687e+00 -1.434133779998271629e+00 -9.699855050363198616e-01
6.505000000000000000e+02 2.004067568960328572e+03 2.022143087894266600e+01 1.818126767405568600e+01 -4.660062369987074682e+00 3.660561888936612718e+01 3.340299358687503428e+01 -3.001309494995024751e-01 1.026389981160740650e+00 -1.034383002253853157e+00
7.005000000000000000e+02 1.822122128959193105e+03 -8.992782021748480759e+01 -5.975056593944820804e+00 -7.900369414604683982e+01 1.580498230778822055e+01 3.702919325260708661e+01 -1.752048129942703092e+00 -2.372386497661471250e+00 -1.410181516205482488e+00
7.505000000000000000e+02 2.299011498301464144e+03 -1.178345041748217312e+02 -7.103913272090095710e+00 -1.206321281407284687e+02 2.259681785769521412e+01 2.778269164019001991e+01 1.174065050701070811e+00 3.549091981649985073e+00 -5.653564566198450159e-01
8.005000000000000000e+02 2.298182762771998114e+03 -8.485833539709881279e+01 3.309323223680861048e+01 -1.571630816997583224e+02 6.413375263840060958e-01 1.554697048767524592e+01 1.631678674668329831e+00 -2.384949797672291538e+00 3.359150510599366424e+00
8.505000000000000000e+02 2.563954031130962449e+03 1.866318476426036321e+00 -1.527365561595768817e+01 -3.584379789406629868e+01 -1.333871600567067794e+01 1.384419469184059359e+01 -6.936293473894402650e-01 -2.611319165606838855e+00 1.967975062859603108e+00
9.005000000000000000e+02 1.990759490678771726e+03 7.276378399977154743e+01 -1.431540050096918471e+01 5.602189274193705870e+01 -8.641194579190175418e+00 2.178303996653997388e+01 -2.048024675472021716e+00 -8.673965701188134370e-01 1.455661102470015456e+00
9.505000000000000000e+02 1.381885373897949421e+03 2.288004728084601069e+01 -1.156155869495216315e+01 2.772890037415660913e+01 8.852759955965465721e+00 3.739154326467971856e+01 4.670126216557133780e+00 5.234819176141008334e+00 -5.986057794809046539e-01
1.000500000000000000e+03 1.040427092050546889e+03 -1.936967366510824107e+01 -1.406622695958987590e+00 -2.586492415642359788e+01 2.951271569721432186e+01 3.950186284964340189e+01 3.292598872771541618e+00 -5.458061446260615845e+00 9.492157030357595282e-01
1.050500000000000000e+03 1.093694695195050599e+03 -7.549224992078440266e+01 -1.432769428276974288e+01 -5.472793325526211561e+01 -1.141924916738207507e+01 3.763932987271336827e+01 1.536332243815929033e+00 -2.399644412631006182e-02 6.130827096712344604e-01
1.100500000000000000e+03 1.152133251820719806e+03 -7.480227161756930343e+01 -2.076302799064733406e+01 -7.373348077982352322e+01 -1.316803522843252949e+01 2.031543804251137075e+01 1.823236862841503436e+00 -2.202902019153953006e+00 1.508823857285235936e+00
