# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.796370920862617140e+03 -1.233662464661337665e+01 6.336777129718884183e+00 -1.233662464661337665e+01 6.336777129718884183e+00 3.537006438100807060e-01 5.543482103037357112e-01 5.543482103037357112e-01 -4.233299601890777031e-01
1.505000000000000000e+02 4.255525667440444522e+03 -4.392769567638681849e+01 1.658181689999171482e+01 -4.392769567638681849e+01 1.658181689999171482e+01 1.356578892325538632e+00 6.762869991474723674e-02 6.762869991474723674e-02 -4.897170945139197040e-01
2.005000000000000000e+02 5.555250089556582680e+03 -1.833259988812214303e+01 -1.962237465907487710e+00 -1.833259988812214303e+01 -1.962237465907487710e+00 1.155040532905704298e+00 1.454214225355069667e-01 1.454214225355069667e-01 -1.416889804380561391e-01
2.505000000000000000e+02 5.331483741615521467e+03 6.016560965183351328e+01 -6.502276948117314603e+00 6.016560965183351328e+01 -6.502276948117314603e+00 2.313581314547597856e+00 7.194752575793142424e-02 7.194752575793142424e-02 5.890715241080134446e-01
3.005000000000000000e+02 4.044766035223174185e+03 1.181760619828040717e+02 -4.103995588009357043e+00 1.181760619828040717e+02 -4.103995588009357043e+00 8.752122039921086838e+00 1.044485735017003508e-01 1.044485735017003508e-01 -5.206268919102909898e-01
3.505000000000000000e+02 2.610465633619567143e+03 8.468494760141234678e+01 2.560713250783757111e+00 8.468494760141234678e+01 2.560713250783757111e+00 1.759729357989992948e+01 -1.388936487385795671e-01 -1.388936487385795671e-01 2.853345005793347933e-01
4.005000000000000000e+02 1.803508407123299548e+03 -1.400745041701540572e+00 -6.682089417974634848e-02 -1.400745041701540572e+00 -6.682089417974634848e-02 2.130082463786420632e+01 2.544168717303896265e-01 2.544168717303896265e-01 -3.878407585240544186e-01
4.505000000000000000e+02 1.937101076525835197e+03 -5.702217805630861847e+01 -1.810700052629224732e+00 -5.702217805630861847e+01 -1.810700052629224732e+00 1.583243238852313617e+01 -2.173212460511413369e-01 -2.173212460511413369e-01 -4.886674209688091075e-02
5.005000000000000000e+02 2.423366498012015199e+03 -5.898724681411805193e+01 1.405726217443679538e+00 -5.898724681411805193e+01 1.405726217443679538e+00 8.567986096279176067e+00 2.145741141798642171e-01 2.145741141798642171e-01 -2.310157937984450849e-01
5.505000000000000000e+02 2.548293039057448368e+03 -1.700881286228840494e+00 -2.161174783025583412e+00 -1.700881286228840494e+00 -2.161174783025583412e+00 9.229539033794283753e+00 1.031145010936505291e-01 1.031145010936505291e-01 -4.009124625390826924e-01
