# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 2.017649621578620781e+03 5.498806675524303245e+01 -3.196660985545526401e+01 -2.302746898837410683e+01 -4.684750899326885332e+01 1.200005899801849241e+00 6.660329973873858611e-01 1.290120113860088458e-01 -5.269277239970159288e-01
1.505000000000000000e+02 3.978556377544600309e+03 -2.975756350144938622e+01 2.142181357828628663e+01 -3.158353768569449116e+01 1.638338976385149692e-01 1.156430669135648071e+00 -1.154771674947352222e+00 -5.634930748875240786e-02 5.412373385656034097e-01
2.005000000000000000e+02 6.398693779927384639e+03 -3.275996843274736836e+00 7.291167883713652875e-01 2.632106761702173614e+00 -2.524620602103108169e+01 9.466038460355736817e-01 -3.255499883422349749e-01 1.684421910599057659e-01 -8.115258940134457977e-02
2.505000000000000000e+02 5.308418554467986723e+03 7.524355418404697105e+01 -7.211346204146693140e+00 7.418992780491360861e+01 8.335253565016948585e+00 2.285214169868661216e+00 -4.846657282364173480e-01 -7.422690651176719889e-01 -3.616071643317498308e-01
3.005000000000000000e+02 4.063031952455556620e+03 1.119072961458158630e+02 8.082453381318932983e+00 1.113164791685608606e+02 -1.210481858132289146e+00 9.439474419662079896e+00 -4.750743333683049574e-01 -1.049370522003035405e-01 2.719291692726882870e-01
3.505000000000000000e+02 2.601004686149641657e+03 8.577105047097791157e+01 2.936730684833313898e+00 8.460319991061798817e+01 -1.725724117492912768e+00 1.781741926674130028e+01 2.217337735269336585e-01 2.885758779343420774e-02 4.359465439360086375e-02
4.005000000000000000e+02 1.632930315453742651e+03 4.319313270884104661e+00 -2.960393936540683502e+00 6.106008260949654876e+00 -1.396858027707075678e+00 2.114632096126650751e+01 -3.565707158603514948e-01 3.140996916388136967e-02 -4.622141281084897191e-01
4.505000000000000000e+02 1.925482000311930506e+03 -6.231232193376759909e+01 -7.309781788427492266e+00 -6.596199498998598187e+01 1.674388140708955142e+00 1.672949511693454028e+01 2.708918844654426006e-01 1.587226925019913637e-01 1.277278331935643718e-01
5.005000000000000000e+02 2.519111022906532071e+03 -5.077340337855869024e+01 3.742447856533592354e+00 -5.180928506332939065e+01 1.338864540123135605e+00 7.948556218314917210e+00 3.629435611494001290e-01 5.212226697510017985e-03 4.737222633516206538e-01
5.505000000000000000e+02 2.613334324880084296e+03 2.857200099430210027e+00 6.538150606895825945e+00 9.098301634193530774e+00 -9.435017187703089725e-01 8.532573524940840315e+00 3.709136007438390004e-01 -5.449881692261552280e-01 3.010956057101005778e-01
6.005000000000000000e+02 2.112441193382290749e+03 2.585085292310575156e+01 -7.021712739143994020e-02 3.325691365833549895e+01 -6.120743128163717905e+00 1.923722382659837038e+01 -7.725787011210981381e-02 -1.832925473385234871e-01 -2.932152614845538463e-01
6.505000000000000000e+02 1.825775407892648900e+03 -1.373860928058862463e+01 -5.328463006895366227e+00 -1.703767448612398994e+01 3.756446009044125844e+00 3.214512630550994032e+01 3.009630684360636854e-02 2.366191104485292351e-01 5.183669565297980425e-02
