# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.403725906697747632e+03 -1.540104382385275983e+01 -5.019582259799480539e+01 2.282858381224372479e+01 5.668026849162643543e+01 -4.840591990593710037e-01 7.003719726032264781e-01 1.620553383465612729e-01 1.715019281905422188e+00
1.505000000000000000e+02 4.096150938036378648e+03 -5.745110689118740765e+01 5.442234992431135510e+01 -4.833249075924084792e+01 -3.191757306113697368e+01 -1.657494134551709131e-01 -9.346762851209051703e-01 -1.534388753455727894e+00 1.114331812494988166e-01
2.005000000000000000e+02 5.177746325927621911e+03 -2.513251005239345748e+00 -1.053245645314155077e+01 -3.539382334268765362e+00 -2.701019956008780198e+01 1.870208122025588671e-01 -3.658402042363350648e-01 8.956652737347193804e-01 1.795356874103890554e-01
2.505000000000000000e+02 5.167600934618476458e+03 7.244060483535932349e+01 -6.426120071779056531e+00 5.749454091432625091e+01 -3.827766771805463719e+01 3.717519506452706235e+00 7.551516924039593237e-02 -1.447777382807765023e-01 4.041402764966662287e-01
3.005000000000000000e+02 3.836766161619994818e+03 1.176496514214529299e+02 -7.007554612818457151e+00 1.067787996568000608e+02 -1.225995052387586348e+01 8.602608746681239538e+00 -1.418475611322959518e+00 1.338094193908325458e-01 -4.779935793688835921e-01
3.505000000000000000e+02 2.944036959507092888e+03 7.471655162897137359e+01 2.236619782990729277e+00 8.543312185914636814e+01 2.389925103324589273e+01 1.977390873610310251e+01 6.407646333797416549e-01 1.551380746205855976e+00 -2.145371426556083316e-01
4.005000000000000000e+02 1.662030262216278288e+03 -7.264141257637850124e+00 7.387177628600858803e+00 1.958424081126056038e+01 4.111718256001324789e+00 1.984911952548347003e+01 3.014347578561043517e-01 -8.933030974497754295e-01 1.302897965150060233e-01
4.505000000000000000e+02 1.988348497993138380e+03 -5.554293882844540775e+01 1.033352034986125823e-01 -6.888823904511197327e+01 -4.141745346811503303e+00 1.694558760360803973e+01 4.569268765813593869e-01 1.423724547215243774e-02 1.138734982305523724e+00
5.005000000000000000e+02 2.512905749316162201e+03 -5.050829441950047993e+01 -8.397690849915976585e+00 -6.182161454840380799e+01 2.169183646076415783e-01 8.637207145434041777e+00 -1.063301033820314823e+00 1.386547244090469977e-01 -3.950508032375066314e-01
5.505000000000000000e+02 2.490745574433135971e+03 1.462056440081778241e+01 -2.662926941972613815e+00 1.526298035283986643e+01 9.442124279685394583e+00 9.224770404166729776e+00 -1.282448413650289165e+00 2.069948345244669030e-01 -4.463411796759396144e-01
6.005000000000000000e+02 2.054729975352815018e+03 3.212302351872082795e+01 7.367207508115403591e+00 3.399989524481824787e+01 -5.851697715320246296e+00 1.993113677116338067e+01 -5.069039315311828497e-01 -5.089157230366819773e-01 -9.009125694711151988e-01
6.505000000000000000e+02 1.882081229196787035e+03 -1.623834839038058675e+01 -2.299990072427593457e+00 -1.535565978588495817e+01 -4.864276622880034928e+00 3.444596761383611039e+01 5.360242506494253822e-01 -2.430381579602360065e-01 1.113584269092370738e+00
7.005000000000000000e+02 1.858151108107024584e+03 -1.015120121016765751e+02 -3.185971056836049531e+00 -9.334789071347262279e+01 -1.154281449953365124e+00 3.648507376284813120e+01 3.874834010279866736e-01 1.366494326184823693e+00 1.198831439998029103e+00
7.505000000000000000e+02 2.218839344410776903e+03 -1.262781180670428256e+02 5.758824179830885015e+00 -1.175121158307172209e+02 4.970728227405492028e+00 2.891567158117230463e+01 6.789974508486694704e-01 -5.278342225559545797e-01 7.960992192356156627e-01
8.005000000000000000e+02 2.485412745979082047e+03 -8.712488135169155612e+01 1.231177176709817439e-01 -9.598075216239364238e+01 -5.364169647913786143e+00 1.473865093748979227e+01 -3.028613291555828924e-01 -8.200776766962764031e-01 -7.419400495664608963e-02
8.505000000000000000e+02 2.437730003008493441e+03 4.042874874653905160e+00 -7.949459294764099404e+00 -9.118485951421297031e+00 1.402151444142816006e+00 1.193980495080488247e+01 1.776491276429901234e-01 4.575212989669057428e-01 1.404589627445274713e+00
9.005000000000000000e+02 1.899861880782601474e+03 4.765593654942507129e+01 -2.974383572125502528e+00 5.559116964866084487e+01 1.092504290769559816e+01 2.246674934279090863e+01 7.665486512171599820e-01 -2.501391237206447737e+00 -2.560580149498836722e-01
9.505000000000000000e+02 1.367866182947553170e+03 4.517839019983830440e+01 2.015234183956662761e+00 3.517785708325470040e+01 3.137079937096892146e-01 3.987652416325573768e+01 4.362928875543881091e-01 -7.197877856820218412e-01 -2.206647640367276619e-01
1.000500000000000000e+03 1.051091654772265656e+03 -2.640312428128424926e+01 2.322441970125030508e+00 -2.612441986167761954e+01 -2.636920550180588130e+00 4.052543301282671706e+01 -6.294023398780123069e-01 1.312988156244915272e+00 1.700510145103055135e-02
1.050500000000000000e+03 1.120359403258667726e+03 -7.123418204821811628e+01 3.614070528311949526e-01 -7.638866587408956832e+01 8.290544974381765186e+00 3.353649599807908288e+01 -1.679202171273517896e+00 -9.785160841439081159e-01 2.866441596459891716e+00
1.100500000000000000e+03 1.191629609489282529e+03 -6.333537619516176420e+01 2.856812528727875833e+00 -7.422870166048031138e+01 -4.961968336569332894e-01 2.117228165983442523e+01 5.393167554564576305e-01 1.902141323130664974e+00 -3.189980518064061688e-02
1.150500000000000000e+03 1.215336543384068136e+03 -2.517977435723502921e+01 7.054554323969861152e+00 -2.788738177429719300e+01 1.528826754180147907e+00 1.253138654319912426e+01 4.633958479720075019e-01 -5.026691397173052023e-01 -5.812118899879160638e-01
1.200500000000000000e+03 1.057722971319599083e+03 7.636778270130469615e+00 5.640539019949418531e+00 7.016086715250843930e+00 -6.534261574880061652e+00 1.582779776032060148e+01 9.893202335648276780e-01 -1.689407311077698592e+00 -4.231330596704705460e-01
1.250500000000000000e+03 8.461385917767648834e+02 -4.915750398082075812e+00 1.237499661996888989e+01 1.106781777287141333e+00 4.069312127533033063e+00 2.725794213900346463e+01 -5.661364935751755922e-04 9.935006965928611100e-01 7.010103541929087190e-02
1.300500000000000000e+03 7.329115995486173460e+02 -2.891229906015038864e+01 -7.069928559855714667e+00 -3.834508854623882712e+01 5.244543532670953301e-01 3.206075193927150480e+01 -6.612959016260662182e-01 2.730230332294201201e+00 -4.884163950475626237e-01
1.350500000000000000e+03 7.663554660043661215e+02 -5.637826018949630225e+01 -5.195931719731431642e+00 -6.827237106324778892e+01 -3.120641447187621598e+00 2.489242536547056872e+01 -5.744764841069769368e-01 9.542305398116394111e-01 -6.548248067194067934e-01
1.400500000000000000e+03 8.286239595292963713e+02 -6.616940280338226898e+01 4.620258257604404228e+00 -5.514276923520378659e+01 3.659868088902634042e+00 1.742575919569987875e+01 -1.040533628645194247e-01 -4.525625272810636979e+00 -1.350211775397321290e+00
1.450500000000000000e+03 8.091927841545734736e+02 -2.378354382530205768e+01 4.639744777828910816e-01 -2.202545272421338396e+01 1.776425917486045059e+00 8.784191777047857030e+00 8.597643914220849670e-02 4.315867190512021057e-01 1.629550354376701371e+00
1.500500000000000000e+03 6.936378931771660064e+02 -9.006706413236845732e-01 5.013509480196673529e+00 -2.253339159824724103e+00 -3.101084045848372384e-01 1.181376154089120156e+01 -1.603499099159055197e+00 1.577004125482498686e+00 -1.675435953403946743e-01
1.550500000000000000e+03 5.394302533585133688e+02 1.048606012038199431e+01 7.152869344200898816e+00 -1.441949533811553719e-01 -3.393062766943514941e+00 1.385489818818373386e+01 -1.098198218688295258e+00 2.014701336108793761e+00 -2.071334258405774786e+00
1.600500000000000000e+03 4.152527492242225549e+02 -6.384284615902481086e+00 5.409521513161361206e+00 -1.428538136102793921e+01 2.750956873812955283e+00 1.867638851195755478e+01 -1.172120187236719069e+00 -2.581011215435959016e+00 1.287571045739751119e+00
1.650500000000000000e+03 4.070889825562051101e+02 -2.733028470407779409e+01 -2.840531450546758041e+00 -2.385613386704398309e+01 -3.227921111470945181e+00 1.703877979006795940e+01 5.925357797187310593e-01 -1.745228054643454429e+00 1.371231195640304934e+00
1.700500000000000000e+03 3.974308769729349819e+02 -2.781497928395423358e+01 3.059149672811028342e+00 -2.850039992787662868e+01 -3.663460892006426217e+00 1.497672721770826421e+01 2.671611812617773918e+00 -3.378580612956076368e-01 2.437979026447136377e+00
1.750500000000000000e+03 3.976928463006257175e+02 -2.211656342770372774e+01 -7.535875537342406894e-01 -2.667044351437732885e+01 1.187554059338186185e+01 9.680921517919889752e+00 -1.621739672543056399e+00 7.657728363508341518e-01 2.710435756324063306e+00
1.800500000000000000e+03 3.696412765410208863e+02 -9.131740838504144975e+00 -1.936094952083320164e+00 -9.019318352592298638e+00 -4.242956576452233897e+00 6.776467949922242440e+00 -1.769194595816212967e+00 -1.109625107481820416e+00 3.201384000743130454e+00
1.850500000000000000e+03 3.152202219800230409e+02 -5.600525555445430292e+00 -2.890762277291258453e+00 -1.577384894961961548e+00 2.597347354644973794e-01 2.738280107006866526e+00 1.117235322154383370e+00 -4.538416167066393392e+00 1.233734721708239640e-01
1.900500000000000000e+03 2.656804933401160724e+02 -1.830957684501007421e+01 -2.100622157501736531e+00 -1.314568274079566201e+01 2.010627756175307645e+00 6.044038228362630605e+00 -2.716736148012897090e-01 1.479286180315336763e+00 -1.309691670340558778e+00
1.950500000000000000e+03 2.372206534031676881e+02 -2.071396802967944240e+01 -3.214900257158794350e+00 -5.379326551803838008e+00 -5.928730444192768623e+00 1.042224807317784574e+01 1.456666973409268984e+00 8.486650020844233033e-02 2.867281049618251476e+00
2.000500000000000000e+03 2.460738826398458059e+02 -1.696516439091743322e+01 -9.819294154075408620e-01 -1.180676040289363193e+01 -3.680340997485453958e+00 1.728513044578492597e+01 -2.983579311392289934e+00 -1.444492092730148336e+00 -1.995811263440639083e+00
2.075500000000000000e+03 2.277156501287114736e+02 -1.437409987930989352e+01 -1.840464774197754450e+00 -9.598903868001364970e+00 4.156030764746128092e+00 7.207753951870048859e+00 -1.503172426580946963e+00 -1.378248282807521763e+00 3.352599216976621666e+00
2.175500000000000000e+03 1.739958821029905494e+02 4.218019021940373932e-03 -2.593935673052544910e+00 2.572836822786435551e+00 -5.268758629075446231e-01 3.487197706454337354e+00 -2.760419352060559550e+00 -1.148207175767764453e-02 2.384094474228130700e+00
2.275500000000000000e+03 1.311820572196266710e+02 -3.575704014150332899e+00 6.092392446218819479e+00 -1.253780730404993982e+01 7.344058946147498546e+00 5.470755006242437268e+00 5.896554742485935030e+00 -3.049006188542192408e+00 3.753413242866864508e+00
2.375500000000000000e+03 1.209803942455647956e+02 -5.844281174946202917e+00 1.642156725375454540e+00 -1.225805790469589418e+01 -1.396858571275774175e-01 3.804490245101578072e+00 4.172942211444349958e+00 4.610240303055427091e+00 -5.592497064135668605e-01
2.475500000000000000e+03 1.039483363164975884e+02 -2.977800120750177637e+00 -1.128117923099573261e+00 -6.050026077522549173e+00 -6.483879325966348972e+00 1.302062932209356649e+00 -5.598796641223798609e+00 -9.579617404578081974e+00 1.729405187223730822e+00
