# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 1.790860499521285647e+03 5.536966284063745292e+01 -2.526893397486891857e+01 6.948983450589304312e+01 -6.568404451811012734e+00 -1.300505655970842778e+00 -2.279656131492139970e+00 -1.466030810286381936e+00 1.320469513191311561e+00
1.505000000000000000e+02 4.366226805523936491e+03 -5.628176020986362005e+01 6.228736127013406332e+01 -3.689263258862253991e+01 -1.082834432332185060e+02 3.628848736175094847e-01 1.912970165576248771e-01 -1.628457241247266651e+00 -2.052312683014794192e+00
2.005000000000000000e+02 5.731574522906626953e+03 -6.308054116612235029e-01 -2.279940083487214153e+01 -6.194422264243826248e-02 -5.959084697278090204e+01 6.620857159130429104e-02 -2.460447704006511582e+00 1.482820450551529112e-01 8.487038607484160835e-01
2.505000000000000000e+02 4.994464755153895567e+03 7.160351072659351246e+01 6.863489655686646707e+00 7.168209974952989683e+01 -1.898825055419252195e+01 3.815667116735719233e+00 -6.851585700790469025e-01 -3.884769593336103166e-01 -4.292145619294873149e-01
3.005000000000000000e+02 4.332776121796307962e+03 1.174754901533081437e+02 1.648984394267812092e+01 1.266540203682829002e+02 1.038930601096135042e+01 9.169254830445426663e+00 -7.176502069835660746e-01 1.057241670540892686e+00 -1.231027501203637131e+00
3.505000000000000000e+02 2.698333158364430801e+03 7.908423414276848007e+01 -5.005215725412199390e+00 1.189332204505925148e+02 8.360632024577061117e+00 1.924235480597209857e+01 2.389363286480150894e-01 1.471741327058672333e+00 6.173975511296340285e-02
4.005000000000000000e+02 1.669316194089510873e+03 3.148652789527923157e-01 -9.494012929708405935e+00 8.668004550344312165e+00 1.745614530353324056e+01 1.993593986819348984e+01 8.855856808908405542e-01 -1.728430310668265524e-01 -1.939836803489040917e-01
4.505000000000000000e+02 1.622387707498233112e+03 -6.287951134037610501e+01 1.540229527395913678e+00 -7.118818900431570285e+01 -5.864588250742829523e+00 1.753862496514817337e+01 2.131068881252310143e-01 3.686098022021181975e-01 7.522851019346927792e-01
5.005000000000000000e+02 2.652278550796204854e+03 -5.085327410157700712e+01 -4.703515049829555927e+00 -6.172745214059235508e+01 3.105508615535638395e+00 9.070031104018422496e+00 -4.347336515848785332e-01 -9.556265912836324761e-01 8.358187606344174014e-01
5.505000000000000000e+02 2.658149349641118988e+03 -4.143400200708860837e+00 -4.149529043443347831e+00 9.749542210028941724e+00 1.211977621624752288e+01 8.609899341632528902e+00 -2.959370012936791139e-01 -1.161654154490748651e-02 -7.882820736089068969e-02
6.005000000000000000e+02 2.093920962810526817e+03 3.339520595600549058e+01 -4.653818296938841748e+00 2.663211771327637578e+01 2.051266099863574777e+00 2.034536740800690424e+01 8.475130335835546758e-01 -6.440126031759138003e-01 1.814852740102812723e+00
6.505000000000000000e+02 1.758098529185888765e+03 -2.184994752470736046e+01 -1.016443239260132714e+01 -2.980096594926272857e+01 3.139526372229084927e+00 3.264409844376410774e+01 2.406277432191603616e-01 -1.129691751683399970e+00 7.062990881241636432e-01
7.005000000000000000e+02 1.880548532051803477e+03 -9.859352075295726081e+01 -1.526840776175798053e+00 -8.052212703326755161e+01 2.571274472956491142e+00 3.503587295831092518e+01 -2.027876382296125157e-01 -2.295327355138470360e-01 8.742577581730843761e-01
7.505000000000000000e+02 2.177761780259881107e+03 -1.222710762755716729e+02 -7.152043570709049725e+00 -1.352134474883870041e+02 8.962883868519162078e+00 2.961663069789544167e+01 2.182228359004454443e-01 7.880173794291202016e-01 1.083511604741287937e-01
8.005000000000000000e+02 2.510710251030774089e+03 -8.814770534550804371e+01 -6.627550447341409301e-01 -9.467497096269818257e+01 1.100631560489569560e+00 1.569038682874220569e+01 7.393188951057291791e-02 -8.715227104106713085e-01 1.370249879166206552e+00
8.505000000000000000e+02 2.432402379094558000e+03 8.217599745763918273e-01 -2.236707489215594702e+00 -3.165797617599972469e-01 -2.225676757606235956e+00 1.257857549750933401e+01 2.056478297997334170e+00 1.519357097734313156e+00 5.285506689156123095e-01
9.005000000000000000e+02 1.869547081578504503e+03 5.992325269380889807e+01 -1.575849349530249022e+01 4.811881411400437969e+01 3.986401441012242586e+00 2.309531060669812064e+01 7.662491575168225433e-01 -9.915492466274556937e-01 8.124636760609540431e-01
9.505000000000000000e+02 1.388254420323158229e+03 4.431726090025464515e+01 -8.073284294000103722e-01 3.598557860631559890e+01 -1.878922751983437278e+00 3.662010886777609642e+01 1.871520636663261128e-01 -4.654965724714461572e-01 1.287377032047427594e+00
1.000500000000000000e+03 1.094173319930039952e+03 -1.933929582891227739e+01 1.218232400259522619e+00 -2.857974663429745021e+01 -9.368278781322674220e+00 4.199516663012690998e+01 1.630290642698254189e+00 2.499098918719874440e+00 -1.001662498381486605e-01
